transaction_id,user_id,merchant_id,amount,channel,location,timestamp,device_change,geo_distance,fraud_type,fraud_strategy_version,is_fraud
761,920,165,541.44,netbanking,semi-urban,2024-01-01 00:00:10,0,4.89,none,0,0
25279,87,104,22.191805367293657,netbanking,rural,2024-01-01 00:00:50,0,4.56,card_testing,1,1
47507,456,89,42.9,card,semi-urban,2024-01-01 00:01:06,0,3.66,none,0,0
26827,336,16,61.54,upi,rural,2024-01-01 00:01:24,0,5.8,none,0,0
30976,8,83,3.38,netbanking,semi-urban,2024-01-01 00:05:19,0,3.42,none,0,0
12667,842,92,5.5,netbanking,semi-urban,2024-01-01 00:07:27,0,7.61,none,0,0
45195,405,135,59.44,card,rural,2024-01-01 00:09:05,0,4.4,none,0,0
49992,501,11,147.13,card,semi-urban,2024-01-01 00:13:41,0,5.83,none,0,0
46676,246,100,46.82,netbanking,semi-urban,2024-01-01 00:14:31,0,5.45,none,0,0
1737,473,129,30.30672886222249,netbanking,semi-urban,2024-01-01 00:15:40,0,8.04,card_testing,1,1
43034,616,39,63.16,netbanking,rural,2024-01-01 00:16:45,0,6.28,none,0,0
5812,420,199,35.06,netbanking,urban,2024-01-01 00:17:57,0,3.08,none,0,0
18567,749,146,136.38,card,urban,2024-01-01 00:17:58,0,3.71,none,0,0
6872,680,193,504.59,upi,rural,2024-01-01 00:19:23,0,6.39,none,0,0
34513,877,150,67.26,netbanking,urban,2024-01-01 00:22:33,0,6.43,none,0,0
19867,981,63,184.52,netbanking,semi-urban,2024-01-01 00:23:49,0,2.84,none,0,0
36654,194,102,53.18,upi,semi-urban,2024-01-01 00:25:40,0,3.5,none,0,0
22454,358,77,76.77,netbanking,urban,2024-01-01 00:28:14,0,6.53,none,0,0
20199,488,131,178.03,upi,rural,2024-01-01 00:28:29,0,3.16,none,0,0
20551,517,42,27.04,upi,rural,2024-01-01 00:31:16,0,3.36,none,0,0
43701,990,18,358.35,upi,semi-urban,2024-01-01 00:32:28,0,5.68,none,0,0
38071,732,96,49.67,card,urban,2024-01-01 00:35:38,0,7.38,none,0,0
13485,468,22,54.22,netbanking,rural,2024-01-01 00:42:45,0,2.32,none,0,0
37502,857,134,87.1,card,rural,2024-01-01 00:45:22,0,2.78,none,0,0
27548,856,54,166.69,netbanking,semi-urban,2024-01-01 00:48:43,0,1.38,none,0,0
20399,56,67,15.78,card,rural,2024-01-01 01:00:32,0,4.49,none,0,0
38602,358,12,651.95,upi,rural,2024-01-01 01:01:01,0,3.92,none,0,0
15431,979,100,384.99,upi,rural,2024-01-01 01:01:10,0,9.5,none,0,0
6843,578,48,65.84,card,urban,2024-01-01 01:02:32,0,5.66,none,0,0
27899,507,134,40.67,upi,rural,2024-01-01 01:07:51,0,6.57,none,0,0
35157,443,123,201.05,netbanking,urban,2024-01-01 01:08:21,0,6.72,none,0,0
42898,341,61,306.94,card,rural,2024-01-01 01:08:38,0,12.54,none,0,0
45808,545,129,57.47,upi,semi-urban,2024-01-01 01:08:47,0,3.77,none,0,0
16765,377,22,29.77,netbanking,rural,2024-01-01 01:09:40,0,5.66,none,0,0
38481,714,6,78.42,netbanking,semi-urban,2024-01-01 01:09:46,0,6.63,none,0,0
12128,259,11,117.96,netbanking,semi-urban,2024-01-01 01:10:14,0,6.26,none,0,0
32829,836,60,56.61,netbanking,urban,2024-01-01 01:10:18,0,7.77,none,0,0
48618,400,163,411.4,netbanking,urban,2024-01-01 01:12:09,0,6.09,none,0,0
48511,554,93,208.85,netbanking,rural,2024-01-01 01:13:03,0,4.57,none,0,0
44554,399,152,500.97,netbanking,rural,2024-01-01 01:14:56,0,8.99,none,0,0
44097,346,42,165.29,upi,rural,2024-01-01 01:18:12,0,4.47,none,0,0
40988,289,154,78.27,upi,rural,2024-01-01 01:23:54,0,6.07,none,0,0
40683,236,186,61.61866572388605,netbanking,rural,2024-01-01 01:33:24,0,6.14,promo_abuse,1,1
6563,341,126,8.95,card,urban,2024-01-01 01:38:00,0,5.21,none,0,0
38759,948,114,223.34,upi,rural,2024-01-01 01:43:50,0,9.08,none,0,0
21531,173,123,62.0,netbanking,semi-urban,2024-01-01 01:47:52,0,4.47,none,0,0
26605,374,156,152.06,card,semi-urban,2024-01-01 01:54:55,0,5.13,none,0,0
28499,652,110,21.74,upi,semi-urban,2024-01-01 01:55:12,0,7.61,none,0,0
46721,98,123,311.59,upi,rural,2024-01-01 01:56:01,0,5.96,none,0,0
18670,837,119,120.61,netbanking,rural,2024-01-01 01:57:33,0,7.33,none,0,0
33689,58,87,38.74,upi,semi-urban,2024-01-01 02:03:25,0,5.12,none,0,0
30330,802,107,288.03,upi,urban,2024-01-01 02:04:31,0,7.68,none,0,0
29211,364,67,82.41,upi,rural,2024-01-01 02:06:28,0,3.98,none,0,0
38605,826,137,82.09,card,semi-urban,2024-01-01 02:08:17,0,5.06,none,0,0
2514,185,26,196.98,card,semi-urban,2024-01-01 02:08:44,0,6.67,none,0,0
6307,593,113,15.21,netbanking,semi-urban,2024-01-01 02:08:45,0,5.68,none,0,0
33404,469,70,102.29,netbanking,rural,2024-01-01 02:15:34,0,2.79,none,0,0
26019,799,70,78.31,card,urban,2024-01-01 02:15:49,0,4.69,none,0,0
8904,599,127,663.62,upi,rural,2024-01-01 02:19:40,0,6.65,none,0,0
8347,144,29,126.35,card,semi-urban,2024-01-01 02:21:10,0,0.69,none,0,0
27214,985,187,330.76,upi,rural,2024-01-01 02:21:10,0,1.95,none,0,0
32774,675,12,15.37,netbanking,rural,2024-01-01 02:22:26,0,8.81,none,0,0
9937,583,194,82.41,card,semi-urban,2024-01-01 02:24:04,0,-0.02,none,0,0
42894,202,130,371.78,card,urban,2024-01-01 02:24:43,0,4.28,none,0,0
6869,361,29,335.25,netbanking,semi-urban,2024-01-01 02:24:46,0,6.55,none,0,0
12469,129,64,190.05,card,semi-urban,2024-01-01 02:35:32,0,4.68,none,0,0
22258,350,39,6.47,netbanking,rural,2024-01-01 02:39:52,0,7.46,none,0,0
5673,389,124,444.05,netbanking,semi-urban,2024-01-01 02:41:40,0,5.13,none,0,0
14086,927,198,363.91,netbanking,rural,2024-01-01 02:41:44,0,6.98,none,0,0
26612,777,58,98.37,card,urban,2024-01-01 02:43:37,0,6.79,none,0,0
38855,837,128,87.13,netbanking,rural,2024-01-01 02:45:14,0,6.45,none,0,0
20516,564,105,131.7,upi,urban,2024-01-01 02:49:25,0,1.6,none,0,0
7025,66,113,454.39,card,rural,2024-01-01 02:54:45,0,6.82,none,0,0
15916,615,95,151.39,netbanking,rural,2024-01-01 02:55:31,0,3.21,none,0,0
28581,417,156,0.71,netbanking,rural,2024-01-01 03:01:56,0,3.43,none,0,0
37763,172,92,229.37,netbanking,rural,2024-01-01 03:07:42,0,5.22,none,0,0
30610,119,88,205.54,upi,urban,2024-01-01 03:10:14,0,3.98,none,0,0
10168,700,112,8.34,netbanking,semi-urban,2024-01-01 03:14:32,0,4.42,none,0,0
6370,679,55,78.8,upi,semi-urban,2024-01-01 03:14:37,0,8.38,none,0,0
7380,313,84,167.84915038438075,card,urban,2024-01-01 03:15:58,0,5.37,account_takeover,1,1
398,854,30,15.702152930900501,netbanking,semi-urban,2024-01-01 03:19:00,0,5.84,account_takeover,1,1
2154,638,178,152.68,netbanking,urban,2024-01-01 03:19:56,0,2.79,none,0,0
19063,272,1,500.37,netbanking,semi-urban,2024-01-01 03:20:42,0,4.55,none,0,0
7286,502,7,130.23,upi,urban,2024-01-01 03:21:52,0,5.16,none,0,0
34039,253,20,57.2,netbanking,semi-urban,2024-01-01 03:28:14,0,5.53,none,0,0
46359,455,175,52.53,card,semi-urban,2024-01-01 03:29:18,0,4.79,none,0,0
10478,251,56,42.18,netbanking,rural,2024-01-01 03:30:37,0,4.49,none,0,0
32936,238,24,418.38,upi,semi-urban,2024-01-01 03:33:17,0,1.67,none,0,0
21059,102,19,491.12,card,semi-urban,2024-01-01 03:33:57,0,9.3,none,0,0
9959,995,41,229.93,card,rural,2024-01-01 03:40:58,0,6.95,none,0,0
43404,596,28,72.5,card,rural,2024-01-01 03:41:56,0,7.36,none,0,0
15211,157,3,13.78,card,rural,2024-01-01 03:46:55,0,3.09,none,0,0
5043,440,81,94.58,upi,urban,2024-01-01 03:47:24,0,4.29,none,0,0
10892,256,159,90.27,netbanking,urban,2024-01-01 03:48:04,0,7.43,none,0,0
13565,417,182,821.14,upi,rural,2024-01-01 03:49:01,0,5.4,none,0,0
46597,523,17,85.68,netbanking,rural,2024-01-01 03:50:10,0,4.21,none,0,0
35987,830,164,33.51,netbanking,urban,2024-01-01 03:53:24,0,5.53,none,0,0
48867,199,78,85.62,upi,rural,2024-01-01 03:54:53,0,4.92,none,0,0
26931,617,196,229.59,netbanking,rural,2024-01-01 03:55:40,0,4.14,none,0,0
25252,597,80,162.34,netbanking,urban,2024-01-01 03:57:34,0,5.26,none,0,0
33694,711,67,110.36,netbanking,rural,2024-01-01 03:59:10,0,6.53,none,0,0
7847,786,1,21.76,netbanking,rural,2024-01-01 03:59:53,0,5.6,none,0,0
33407,706,185,101.01,netbanking,rural,2024-01-01 04:03:39,0,6.9,none,0,0
4364,800,98,9.71,upi,semi-urban,2024-01-01 04:03:41,0,8.77,none,0,0
